Freq/Channel,Start,Stop,Min Amp,Peak Amp,CFAR Low,CFAR High,message start
28,639218753390505,639218753398005,282,1270,87,244,0.0
32,639218753390588,639218753398088,249,1203,87,244,0.0
29,639218753389505,639218753399255,1001,16914,83,290,0.0
30,639218753389922,639218753399255,17075,26114,87,283,639218752193141.0
31,639218753390588,639218753399672,532,16311,104,293,0.0
40,639218753402755,639218753411755,3024,17896,104,293,0.0
41,639218753403172,639218753412172,17324,26453,101,290,639218752193141.0
42,639218753403672,639218753412672,3088,12577,108,297,0.0
6,639218753415604,639218753424771,17688,27988,108,300,639218752193141.0
5,639218753415354,639218753425021,635,17815,115,318,0.0
7,639218753415854,639218753425521,1066,17785,108,311,0.0
26,639218753430172,639218753437172,253,1144,122,269,0.0
23,639218753428672,639218753438338,1759,12793,108,311,0.0
24,639218753428838,639218753438338,17460,26399,111,311,639218752193141.0
25,639218753429005,639218753438755,4183,15186,111,314,0.0
45,639218753441838,639218753451088,612,14383,97,293,0.0
46,639218753442588,639218753451338,17951,26827,101,286,639218752193141.0
47,639218753442505,639218753451755,3175,24285,97,290,0.0
19,639218753454588,639218753461422,600,13754,129,272,0.0
50,639218753455505,639218753462422,208,1287,111,258,0.0
20,639218753454755,639218753464422,16629,26637,97,300,639218752193141.0
21,639218753455005,639218753464838,2175,19768,83,290,0.0
42,639218753467588,639218753476588,3838,15286,97,286,0.0
43,639218753468005,639218753477172,16359,25657,97,290,639218752193141.0
44,639218753468255,639218753477672,1486,10200,90,290,0.0
7,639218753481271,639218753489021,228,1236,104,269,0.0
8,639218753480354,639218753489771,662,20068,129,325,0.0
9,639218753480521,639218753490104,18841,26133,108,311,639218752193141.0
10,639218753480854,639218753490521,4348,15378,101,304,0.0
23,639218753493588,639218753503338,4401,14841,118,325,0.0
24,639218753493755,639218753503338,16360,29347,83,286,639218752193141.0
44,639218753507172,639218753516255,15876,27825,90,283,639218752193141.0
43,639218753506588,639218753516338,435,18585,69,272,0.0
45,639218753507505,639218753516672,584,16327,94,286,0.0
7,639218753519604,639218753528771,15703,28224,104,297,639218752193141.0
6,639218753519437,639218753529021,3592,14928,132,335,0.0
8,639218753519937,639218753529521,4321,23354,104,307,0.0
29,639218753534005,639218753540338,203,1204,104,237,0.0
25,639218753533838,639218753541505,415,1237,90,251,0.0
26,639218753532755,639218753542088,1158,14445,101,297,0.0
27,639218753532922,639218753542172,16632,27807,108,304,639218752193141.0
28,639218753533088,639218753542755,4311,14914,97,300,0.0
37,639218753545672,639218753554338,3999,17604,108,290,0.0
38,639218753546005,639218753555172,16229,26902,97,290,639218752193141.0
39,639218753546172,639218753555588,221,15962,94,293,0.0
3,639218753559604,639218753566687,264,1211,122,272,0.0
5,639218753558604,639218753567854,18434,26995,108,304,639218752193141.0
4,639218753558354,639218753567937,416,17251,101,300,0.0
6,639218753561271,639218753568521,739,17643,167,321,0.0
28,639218753571588,639218753581172,4197,17038,73,276,0.0
29,639218753571922,639218753581422,16331,28819,90,290,639218752193141.0
30,639218753572255,639218753581755,3955,16844,118,318,0.0
5,639218753585437,639218753592854,225,1262,101,258,0.0
3,639218753584687,639218753593771,18633,25725,115,304,639218752193141.0
2,639218753584187,639218753594021,551,21491,104,311,0.0
4,639218753585271,639218753594521,2062,15609,118,311,0.0
19,639218753597588,639218753607005,1430,22438,146,346,0.0
20,639218753597922,639218753607422,19089,24802,143,342,639218752193141.0
21,639218753598005,639218753607838,1415,20902,90,297,0.0
44,639218753610672,639218753620088,1967,18342,115,311,0.0
45,639218753611005,639218753620172,19295,26251,104,297,639218752193141.0
46,639218753611255,639218753620755,2385,19614,87,286,0.0
15,639218753623141,639218753630474,2577,16426,244,398,0.0
16,639218753623141,639218753632891,20054,26082,97,300,639218752193141.0
36,639218753636588,639218753645505,1617,23103,83,272,0.0
37,639218753637255,639218753646172,16957,26375,125,311,639218752193141.0
38,639218753637422,639218753646588,1094,17591,129,321,0.0
0,639218753649604,639218753658937,20024,26161,125,321,639218752193141.0
1,639218753650021,639218753659437,2388,22515,122,321,0.0
22,639218753662505,639218753672088,3819,20421,101,300,0.0
23,639218753662922,639218753672422,18801,25640,115,314,639218752193141.0
24,639218753663088,639218753672838,630,20010,111,318,0.0
35,639218753675672,639218753684422,5410,22448,87,272,0.0
38,639218753677588,639218753684505,219,1275,83,227,0.0
36,639218753676005,639218753685172,15804,26951,94,286,639218752193141.0
37,639218753676172,639218753685588,3910,15373,87,286,0.0
6,639218753689187,639218753696354,510,1676,115,265,0.0
10,639218753689854,639218753696354,258,1190,129,265,0.0
7,639218753688354,639218753696854,1109,13955,115,293,0.0
8,639218753688437,639218753697854,18844,25949,94,293,639218752193141.0
9,639218753688771,639218753698521,3665,15340,115,321,0.0
17,639218753700974,639218753710224,1474,17206,94,290,0.0
18,639218753701224,639218753710391,15826,27044,111,304,639218752193141.0
33,639218753715672,639218753722588,213,1133,76,223,0.0
30,639218753714505,639218753724255,3480,20935,94,300,0.0
31,639218753715005,639218753724255,17536,28428,87,279,639218752193141.0
32,639218753716255,639218753724755,4944,18392,108,286,0.0
48,639218753729088,639218753736172,227,1399,101,251,0.0
50,639218753728005,639218753737172,15730,26280,108,300,639218752193141.0
19,639218753728255,639218753737588,825,16305,118,314,0.0
21,639218753740672,639218753750088,3620,21448,143,342,0.0
22,639218753740922,639218753750422,17180,25657,101,300,639218752193141.0
23,639218753741172,639218753750755,1831,17406,108,311,0.0
43,639218753755005,639218753762255,176,1183,104,255,0.0
47,639218753754755,639218753762505,196,1299,66,230,0.0
44,639218753753672,639218753763088,799,16112,94,293,0.0
45,639218753754005,639218753763338,16611,26359,76,272,639218752193141.0
46,639218753754005,639218753763755,991,14871,76,283,0.0
15,639218753766224,639218753775557,1201,21459,234,430,0.0
16,639218753766224,639218753775724,17989,27991,101,300,639218752193141.0
17,639218753766641,639218753776307,1656,18143,115,318,0.0
29,639218753781422,639218753788005,337,1327,108,244,0.0
26,639218753779672,639218753788588,1618,20361,83,269,0.0
27,639218753779838,639218753789338,17482,28140,76,276,639218752193141.0
28,639218753780422,639218753789755,2339,15896,108,304,0.0
35,639218753794172,639218753801422,253,1250,101,255,0.0
37,639218753792922,639218753802005,18688,25573,66,258,639218752193141.0
36,639218753792755,639218753802255,976,21691,69,269,0.0
38,639218753793255,639218753802588,1401,24004,94,290,0.0
2,639218753805354,639218753814937,349,20016,104,307,0.0
3,639218753805771,639218753815104,18046,26134,97,293,639218752193141.0
4,639218753805937,639218753815437,4568,19981,101,300,0.0
17,639218753818057,639218753827641,1039,16394,160,360,0.0
18,639218753818557,639218753827641,17824,26627,223,412,639218752193141.0
39,639218753833088,639218753840505,309,1122,90,248,0.0
40,639218753831588,639218753841088,3684,20111,66,265,0.0
41,639218753832005,639218753841172,16965,28143,80,272,639218752193141.0
42,639218753832172,639218753841755,3395,15291,69,269,0.0
14,639218753843974,639218753852724,1410,24150,101,286,0.0
15,639218753844641,639218753853557,18990,26706,279,465,639218752193141.0
16,639218753845141,639218753854224,2669,18051,139,328,0.0
24,639218753857672,639218753867088,1546,22606,97,297,0.0
25,639218753857922,639218753867422,18794,25142,104,304,639218752193141.0
26,639218753858005,639218753867755,1865,15976,94,300,0.0
42,639218753870505,639218753880255,1071,14384,66,269,0.0
43,639218753870838,639218753880338,14707,28976,76,276,639218752193141.0
44,639218753871088,639218753880672,4455,17726,90,293,0.0
